"seller_id","seller_type","domain","name","is_confidential","version","seller_json_source"
"8934","PUBLISHER","maplemedia.io","Maple Media, LLC",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"11026","PUBLISHER","latimes.com","NantMedia Holdings",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"7049","PUBLISHER","pmc.com","Penske Media Corporation",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"10721","PUBLISHER","try.philo.com","Philo",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"2769","PUBLISHER","ranker.com","Ranker, Inc.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"6907","PUBLISHER","sourceforge.net","SourceForge Media, LLC",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"7068","PUBLISHER","thechive.com","theCHIVE",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"7282","PUBLISHER","whisper.sh","Whisper Text Inc.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"8573","PUBLISHER","xumo.com","Xumo, LLC",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"10075","PUBLISHER","younghollywood.com","Young Hollywood",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"8148","INTERMEDIARY","vdo.ai","Zero 1 Inc.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"6967","PUBLISHER","dotdash.com","About.com, Inc.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"8345","INTERMEDIARY","iacapps.com","APN, LLC",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"3232","PUBLISHER","thebdx.com","Builder Homesite Inc",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"7529","PUBLISHER","condenast.com","Conde Nast",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"8838","PUBLISHER","flightaware.com","FlightAware, LLC",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"7656","PUBLISHER","thefmg.com","Fusion Media Group",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"9927","PUBLISHER","mundohispanico.com","Mundo Hispano Digital, Inc.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"9284","BOTH","nextmillennium.io","NDS Sales, Inc",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"7040","PUBLISHER","popsugar.com","POPSUGAR, Inc.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"10306","PUBLISHER","sabre.com","Sabre GLBL Inc.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"10793","PUBLISHER","td.com","TD Bank (TEST)",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"9419","PUBLISHER","valorworldwide.com","Valor Worldwide",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"9027","PUBLISHER","voicemediagroup.com","Voice Media Group",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"7436","PUBLISHER",NA,"30M Ltd",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"8557","PUBLISHER","upwords.co","Assembly Technologies Inc.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"10465","PUBLISHER","autotrader.ca","autoTRADER.ca",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"7589","PUBLISHER",NA,"Concourse Media",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"1330","BOTH",NA,NA,"1","1.0","acdn.adnxs.comsellers1dxandr"
"7424","PUBLISHER","distractify.com","Distractify",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"3871","PUBLISHER","eltiempo.es","ElTiempo.es",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"7910","BOTH","enthusiastgaming.com","Enthusiast Gaming Inc.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"3573","BOTH",NA,"eSell Solutions Ltd.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"8262","PUBLISHER","fixya.com","FIXYA, LTD",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"7398","PUBLISHER","ifunny.co","Funcorp Limited",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"6818","PUBLISHER","heavy.com","Heavy, Inc.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"3796","PUBLISHER","hometalk.com","Hometalk LLC",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"10324","PUBLISHER",NA,"Ibtimes LLC",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"8083","PUBLISHER",NA,"Interactive One, LLC",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"3757","INTERMEDIARY","InvestingChannel.com","Investing Channel Inc.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"10505","PUBLISHER","lapresse.ca","La Presse Inc.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"9410","PUBLISHER","einthusan.com","Leo India Films Ltd.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"2437","INTERMEDIARY","m32.media","M32 Media Inc.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"8558","PUBLISHER","1001fonts.com","Maximilian Bloch",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"9562","PUBLISHER","quebecormediasales.ca","MediaQMI",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"9487","PUBLISHER",NA,"Musi",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"9830","PUBLISHER","newsweek.com","Newsweek",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"7817","PUBLISHER",NA,"Postmedia Network, Inc.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"1285","PUBLISHER","globeandmail.com","The Globe and Mail Inc.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"3258","BOTH","publisherdesk.com","The Publisher Desk LLC",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"8230","PUBLISHER",NA,"ScoreMobile Inc.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"8874","PUBLISHER","timehop.com","Timehop",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"9586","PUBLISHER",NA,"TORONTO STAR NEWSPAPERS LIMITED.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"10418","PUBLISHER",NA,"Valcomm Inc.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"9444","PUBLISHER","valnetinc.om","Valnet, Inc.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"4016","PUBLISHER","verticalscope.com","Vertical Scope Inc.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"7401","PUBLISHER","wattpad.com","Wattpad Corp",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"3850","PUBLISHER","theweathernetwork.com","Weather Network Canada",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"10361","PUBLISHER",NA,"Wise Publishing, Inc.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"10176","INTERMEDIARY","adasta.it","Adasta Media",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"9954","INTERMEDIARY","clickio.it","ALZ Software Limited",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"3602","PUBLISHER","aranzulla.it","Aranzulla Srl",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"3707","PUBLISHER","blogo.it","Blogo.it.srl",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"9143","PUBLISHER","calciomercato.it","CalcioInfinito srl",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"8946","PUBLISHER","ciaopeople.it","Ciaopeople",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"9109","PUBLISHER","automoto.it","CRM s.r.l.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"10657","PUBLISHER","datawad.com","Datawad s.r.l.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"8870","PUBLISHER","diarioinenglish.com","Diario del Web S.r.l.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"10487","PUBLISHER","sky.it","Digital Exchange S.r.l.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"10200","PUBLISHER","eadv.it","EADV S.R.L.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
"8420","PUBLISHER","evolution-adv.it","Evolution ADV srl.",NA,"1.0","acdn.adnxs.comsellers1dxandr"
