"seller_id","seller_type","name","domain","is_passthrought","comment","version","seller_json_source"
"01182de8-9a23-4b39-b9b5-53371a550e2f","BOTH","index.hr","index.hr",NA,NA,"1.0","admixer.net"
"c5c4e22c-fc41-491a-86e8-7b101d2cd67b","INTERMEDIARY","Forebase","forebase.com",NA,NA,"1.0","admixer.net"
"da006719-1f11-4e97-b399-a16bb2cd48e6","INTERMEDIARY","Streamkey TV","streamkey.tv",NA,NA,"1.0","admixer.net"
"d713c95a-f5d7-4089-94f1-a994ba90626a","INTERMEDIARY","Ad Experts Media","adexpertsmedia.com",NA,NA,"1.0","admixer.net"
"7ab84c0a-7c28-4098-8eb1-e12287752e7f","PUBLISHER","obyava.ua","obyava.ua",NA,NA,"1.0","admixer.net"
"16ca13a4-9604-4bbd-bf21-02aaf8e6ec4f","INTERMEDIARY","Bat-Ads","bat-ads.com",NA,NA,"1.0","admixer.net"
"a6a2f5ea-ac25-49b1-af57-27c05865e62b","INTERMEDIARY","9dotMedia","9dotsmedia.com",NA,NA,"1.0","admixer.net"
"18d263a9-0d30-40ae-ae52-2bda0b37b71f","PUBLISHER","investing.com","investing.com",NA,NA,"1.0","admixer.net"
"aa698c57-4775-4c9e-837b-eea1715bbd4b","BOTH","Bright Mountain Media","brightmountainmedia.com",NA,NA,"1.0","admixer.net"
"b8f30fbe-5cc4-4cab-8a91-195cce1ed207","BOTH","Advand Media","advandmedia.com",NA,NA,"1.0","admixer.net"
"8c581f51-80de-4b25-88ed-779239d53db8","BOTH","Gamoshi","gamoshi.com",NA,NA,"1.0","admixer.net"
"4f1e5aab-5f2d-4bf6-b9ed-6b33ef534e04","INTERMEDIARY","Market","market-group.com",NA,NA,"1.0","admixer.net"
"28b0932b-ca4e-4d97-b06d-8bfee2633335","INTERMEDIARY","Plexus","plexusstudios.com",NA,NA,"1.0","admixer.net"
"bbae93ec-853c-46e8-87c7-51b5f8f0269c","BOTH","Phonder SSP","phonder.com",NA,NA,"1.0","admixer.net"
"506bd3d6-420d-43fb-9b44-722853d5c86b","INTERMEDIARY","Advinteo","advinteo.com",NA,NA,"1.0","admixer.net"
"9bcb4d90-a85f-47f0-8a81-f86db56e4f67","INTERMEDIARY","Transsion","transsion.com",NA,NA,"1.0","admixer.net"
"f9b6b9b8-6d34-456e-b88f-ef1fe545137b","INTERMEDIARY","Gowithmedia","gowithmedia.com",NA,NA,"1.0","admixer.net"
